CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
MNG1,Mongolia M1,7,1,0,1,1,0,1,1,2,1,1,3,11,0,1,1,0,0,1,2,3,0,1,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,3,1,1,1,1,0
MNG2,Mongolia M2,7,1,1,1,1,0,1,1,2,1,1,3,11,0,1,1,0,0,1,2,3,0,1,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,3,1,1,1,1,0
MNG3,Mongolia M3,7,1,1,1,1,0,1,1,2,1,1,3,11,0,1,1,0,0,1,2,3,0,1,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,3,1,1,1,1,0
MNE1,Montenegro M1,7,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,2,0,0,1,1,0
MNE2,Montenegro M2,7,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,2,0,0,1,1,0
MNE3,Montenegro M3,7,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,2,0,0,1,1,0
MAR1,Morocco M1,3,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
MAR2,Morocco M2,3,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
MAR3,Morocco M3,3,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
MOZ1,Mozambique M1,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
MOZ2,Mozambique M2,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
MOZ3,Mozambique M3,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
MMR1,Myanmar M1,7,0,1,1,2,1,1,1,1,1,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,8,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,0
MMR2,Myanmar M2,7,0,1,1,2,1,1,1,1,1,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,8,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,0
MMR3,Myanmar M3,7,0,1,1,2,1,1,1,1,1,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,8,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,0
NAM1,Namibia M1,4,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,7,0,0,0,1,1,0,0,2,0,1,4,1,0,1,1,0
NAM2,Namibia M2,4,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,7,0,0,0,1,1,0,0,2,0,1,4,1,0,1,1,0
NAM3,Namibia M3,4,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,7,0,0,0,1,1,0,0,2,0,1,4,1,0,1,1,0
NPL1,Nepal M1,1,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,2,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0
NPL2,Nepal M2,1,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,2,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0
NPL3,Nepal M3,1,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,2,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0
NLD1,Netherlands M1,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
NLD2,Netherlands M2,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
NLD3,Netherlands M3,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
